,CSF,GM,WM,case,algorithm,time,iterations,init,atlas,atlas_use,model
117,0.4286379046732699,0.8669512229685684,0.925949288323528,1023,em_tm_af_ours,0.2986760139465332,0,tm,ours,af,em
118,0.0993642212662275,0.8421888855633822,0.9062038028873544,1023,em_tm_lp_af_mni,0.2448422908782959,0,tm,af,lp,em
119,0.2071878579610538,0.8902969307463788,0.9355030715913496,1023,em_tm_lp_af_ours,0.24309968948364258,0,tm,af,lp,em
120,0.0535714285714285,0.0,0.7528339608072651,1023,em_km_in_mni,105.32601976394652,300,km,mni,in,em
121,0.2001178318931657,0.8915294535676137,0.9336897269438524,1023,em_km_in_ours,32.71507549285889,96,km,ours,in,em
122,0.1547295255364158,0.8575077103749437,0.9191416760743903,1023,em_tm_in_mni,20.33641266822815,74,tm,mni,in,em
123,0.2001178318931657,0.8915294535676137,0.9336897269438524,1023,em_tm_in_ours,21.328591346740723,80,tm,ours,in,em
124,0.1547295255364158,0.8575077103749437,0.9191416760743903,1023,em_tm_lp_in_mni,19.271303415298462,72,tm,in,lp,em
125,0.2001178318931657,0.8915294535676137,0.9336897269438524,1023,em_tm_lp_in_ours,20.22334599494934,80,tm,in,lp,em
126,0.2723595505617977,0.884071457141238,0.8879008248103696,1024,tm,-,-,-,-,-,tm
127,0.5902118334550767,0.7226191525997986,0.7854256819229997,1024,lp_ours,-,-,ours,-,-,lp
128,0.4951153463819285,0.6464699570705702,0.7030273706925587,1024,lp_mni,-,-,mni,-,-,lp
129,0.8096362166531932,0.915513274441782,0.9450315123924308,1024,tm+lp_ours,-,-,ours,-,-,tm
130,0.2795722481617899,0.8538170440740773,0.9002084187978888,1024,tm+lp_mni,-,-,mni,-,-,tm
131,3.612834232326918e-05,0.752172397950011,0.9331577764495436,1024,em_km,86.58116269111633,300,km,-,-,em
132,0.0165564345307569,0.8303926253705624,0.6574439589608091,1024,em_tm,76.74440789222717,300,tm,-,-,em
133,0.0479664910147277,0.8963348477006536,0.9381122301225828,1024,em_lp_mni,76.00062370300293,300,lp,mni,-,em
